T,loN_lopH,loN_hipH,hiN_lopH,hiN_hipH,neutralpH_loN,neutralpH_hiN
0,-12.497154,-11.266434,-11.840362,-10.609641,-11.580284,-10.923491
5,-12.2742,-11.043479,-11.617407,-10.386687,-11.378993,-10.722201
10,-12.057027,-10.826306,-11.400234,-10.169514,-11.182251,-10.525459
15,-11.84593,-10.615209,-11.189137,-9.958417,-10.990436,-10.333644
20,-11.640723,-10.410003,-10.983931,-9.753211,-10.803467,-10.146675
25,-11.441209,-10.210488,-10.784416,-9.553696,-10.621232,-9.96444
30,-11.247181,-10.016461,-10.590389,-9.359668,-10.443601,-9.786808
35,-11.058435,-9.827715,-10.401643,-9.170923,-10.27043,-9.613638
40,-10.87477,-9.64405,-10.217977,-8.987257,-10.101574,-9.444781
45,-10.695987,-9.465266,-10.039194,-8.808474,-9.936883,-9.280091
50,-10.521895,-9.291175,-9.865103,-8.634382,-9.776211,-9.119418
55,-10.352311,-9.121591,-9.695518,-8.464798,-9.619411,-8.962618
60,-10.187057,-8.956337,-9.530265,-8.299545,-9.466342,-8.80955
65,-10.025965,-8.795244,-9.369172,-8.138452,-9.316867,-8.660074
70,-9.868872,-8.638151,-9.212079,-7.981359,-9.170852,-8.51406
75,-9.715623,-8.484903,-9.058831,-7.828111,-9.02817,-8.371378
80,-9.566072,-8.335352,-8.90928,-7.678559,-8.888697,-8.231904
85,-9.420077,-8.189357,-8.763285,-7.532565,-8.752314,-8.095522
90,-9.277505,-8.046785,-8.620713,-7.389993,-8.618909,-7.962117
95,-9.138227,-7.907507,-8.481435,-7.250715,-8.488371,-7.831579
100,-9.002125,-7.771404,-8.345332,-7.114612,-8.360601,-7.703809
105,-8.869115,-7.638394,-8.212322,-6.981602,-8.235537,-7.578745
110,-8.739055,-7.508335,-8.082263,-6.851542,-8.113048,-7.456255
115,-8.61184,-7.38112,-7.955048,-6.724327,-7.99304,-7.336248
120,-8.487369,-7.256649,-7.830577,-6.599856,-7.875427,-7.218635
125,-8.365546,-7.134826,-7.708753,-6.478033,-7.760126,-7.103333
130,-8.246279,-7.015558,-7.589486,-6.358766,-7.647054,-6.990261
135,-8.129479,-6.898759,-7.472687,-6.241967,-7.536134,-6.879342
140,-8.015064,-6.784344,-7.358272,-6.127552,-7.427295,-6.770503
145,-7.902953,-6.672233,-7.246161,-6.01544,-7.320463,-6.66367
150,-7.793068,-6.562347,-7.136275,-5.905555,-7.215569,-6.558776
155,-7.685335,-6.454615,-7.028543,-5.797822,-7.112548,-6.455756
160,-7.579684,-6.348964,-6.922892,-5.692171,-7.011338,-6.354545
165,-7.476046,-6.245326,-6.819254,-5.588534,-6.911875,-6.255083
170,-7.374356,-6.143636,-6.717564,-5.486844,-6.814102,-6.15731
175,-7.274551,-6.043831,-6.617759,-5.387039,-6.717962,-6.06117
180,-7.176571,-5.94585,-6.519778,-5.289058,-6.623399,-5.966607
185,-7.080356,-5.849636,-6.423564,-5.192843,-6.53036,-5.873568
190,-6.985851,-5.755131,-6.329059,-5.098338,-6.438791,-5.781999
195,-6.893001,-5.662281,-6.236209,-5.005488,-6.348643,-5.69185
200,-6.801754,-5.571033,-6.144961,-4.914241,-6.259863,-5.603071
205,-6.712058,-5.481338,-6.055266,-4.824545,-6.172405,-5.515612
210,-6.623865,-5.393144,-5.967072,-4.736352,-6.086218,-5.429426
215,-6.537126,-5.306406,-5.880333,-4.649613,-6.001257,-5.344464
220,-6.451794,-5.221074,-5.795002,-4.564282,-5.917472,-5.26068
225,-6.367825,-5.137105,-5.711032,-4.480312,-5.834819,-5.178026
230,-6.285172,-5.054452,-5.62838,-4.39766,-5.753249,-5.096457
235,-6.203792,-4.973072,-5.547,-4.31628,-5.672717,-5.015925
240,-6.123642,-4.892922,-5.46685,-4.236129,-5.593177,-4.936385
245,-6.044677,-4.813957,-5.387885,-4.157165,-5.514581,-4.857789
250,-5.966856,-4.736135,-5.310063,-4.079343,-5.436882,-4.780089
255,-5.890133,-4.659413,-5.233341,-4.002621,-5.360031,-4.703239
260,-5.814467,-4.583746,-5.157674,-3.926954,-5.283981,-4.627188
265,-5.73981,-4.50909,-5.083018,-3.852298,-5.208679,-4.551887
270,-5.666119,-4.435398,-5.009326,-3.778606,-5.134074,-4.477282
275,-5.593344,-4.362623,-4.936551,-3.705831,-5.060112,-4.403319
280,-5.521435,-4.290715,-4.864643,-3.633922,-4.986733,-4.329941
285,-5.450339,-4.219619,-4.793547,-3.562827,-4.913877,-4.257085
290,-5.379998,-4.149278,-4.723206,-3.492486,-4.841475,-4.184683
295,-5.31035,-4.07963,-4.653558,-3.422838,-4.769455,-4.112663
300,-5.241325,-4.010605,-4.584533,-3.353812,-4.697732,-4.04094
